disasterNumber,declarationDate,declarationTitle,state
1580,2005-02-15T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",OH
1318,2000-02-28T00:00:00.000Z,SEVERE WINTER STORMS,VA
4322,2017-07-12T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,NY
4071,2012-07-23T00:00:00.000Z,SEVERE STORMS AND STRAIGHT-LINE WINDS,WV
3540,2020-08-24T00:00:00.000Z,TROPICAL STORMS MARCO AND LAURA,TX
4573,2020-12-10T00:00:00.000Z,HURRICANE ZETA,AL
1580,2005-02-15T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",OH
4577,2021-01-12T00:00:00.000Z,HURRICANE ZETA,LA
4501,2020-03-29T00:00:00.000Z,COVID-19 PANDEMIC,GA
4250,2016-01-21T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",MO
4069,2012-07-06T00:00:00.000Z,SEVERE STORMS AND FLOODING,MN
1279,1999-06-08T00:00:00.000Z,"SEVERE STORMS, FLOODING, SNOW, ICE, GROUND SATURATION, LANSLIDES, MUDSLIDES, AND TOR",ND
3592,2023-03-10T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",CA
3455,2020-03-13T00:00:00.000Z,COVID-19 ,MI
4263,2016-03-13T00:00:00.000Z,SEVERE STORMS AND FLOODING,LA
1883,2010-03-05T00:00:00.000Z,SEVERE WINTER STORM,OK
1136,1996-09-11T00:00:00.000Z,HURRICANE HORTENSE,PR
3039,1977-04-29T00:00:00.000Z,DROUGHT,OR
895,1991-03-05T00:00:00.000Z,SEVERE STORMS & FLOODING,MS
683,1983-06-01T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",MS
1018,1994-03-16T00:00:00.000Z,"SEVERE WEATHER, FREEZING RAIN, SLEET, SNW",KY
321,1972-01-27T00:00:00.000Z,SEVERE STORMS & FLOODING,AR
1813,2009-01-05T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,MA
5236,2018-04-29T00:00:00.000Z,TINDER FIRE,AZ
4522,2020-04-04T00:00:00.000Z,COVID-19 PANDEMIC,ME
3142,1999-09-01T00:00:00.000Z,EXTREME FIRE HAZARDS,TX
585,1979-05-07T00:00:00.000Z,"SEVERE STORMS, TORNADOES & FLOODING",TN
1631,2006-03-16T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",MO
3106,1993-03-17T00:00:00.000Z,SEVERE BLIZZARD,NJ
4490,2020-03-26T00:00:00.000Z,COVID-19 PANDEMIC,MO
3476,2020-03-13T00:00:00.000Z,COVID-19 ,MT
3165,2001-03-28T00:00:00.000Z,SNOW,MA
1230,1998-07-02T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",IA
4304,2017-02-24T00:00:00.000Z,SEVERE WINTER STORM,KS
1671,2006-12-12T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA
1603,2005-08-29T00:00:00.000Z,HURRICANE KATRINA,LA
1741,2008-02-01T00:00:00.000Z,SEVERE WINTER STORMS,KS
996,1993-07-09T00:00:00.000Z,SEVERE STORMS & FLOODING,IA
1853,2009-07-31T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND TORNADOES",NE
3301,2009-01-28T00:00:00.000Z,SEVERE WINTER STORM,AR
228,1967-07-18T00:00:00.000Z,SEVERE STORMS & FLOODING,NE
1433,2002-09-25T00:00:00.000Z,SEVERE STORMS AND TORNADOES,IN
4592,2021-03-31T00:00:00.000Z,"SEVERE WINTER STORMS, LANDSLIDES, AND MUDSLIDES",KY
259,1969-04-25T00:00:00.000Z,FLOODING,IA
3013,1976-06-17T00:00:00.000Z,DROUGHT,MN
3217,2005-09-05T00:00:00.000Z,HURRICANE KATRINA EVACUATION,TN
4677,2022-11-21T00:00:00.000Z,HURRICANE IAN,SC
1405,2002-03-12T00:00:00.000Z,SEVERE WINTER STORM WITH HIGH WINDS,OR
3031,1977-02-22T00:00:00.000Z,DROUGHT & FREEZING,LA
1748,2008-03-12T00:00:00.000Z,SEVERE WINTER STORMS AND FLOODING,MO
1878,2010-02-25T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORM,NE
4482,2020-03-22T00:00:00.000Z,COVID-19 PANDEMIC,CA
4267,2016-03-23T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,PA
4656,2022-06-29T00:00:00.000Z,"SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",SD
4586,2021-02-19T00:00:00.000Z,SEVERE WINTER STORMS,TX
3417,2019-08-27T00:00:00.000Z,TROPICAL STORM DORIAN ,PR
5000,2012-08-03T00:00:00.000Z,FREEDOM FIRE,OK
3049,1977-08-11T00:00:00.000Z,DROUGHT,NC
3353,2012-10-28T00:00:00.000Z,HURRICANE SANDY,CT
3109,1993-03-17T00:00:00.000Z,SEVERE SNOWFALL & WINTER STORM,WV
788,1987-04-09T00:00:00.000Z,SEVERE STORMS & FLOODING,ME
1872,2010-02-04T00:00:00.000Z,SEVERE STORMS AND FLOODING,AR
67,1957-01-31T00:00:00.000Z,FLOOD,WV
4518,2020-04-03T00:00:00.000Z,COVID-19 PANDEMIC,AR
1518,2004-05-25T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",IA
2197,1998-03-22T00:00:00.000Z,GUAM TIYAN TOTO FIRE COMPLEX,GU
3284,2008-03-14T00:00:00.000Z,WILDFIRES,TX
4779,2024-05-14T00:00:00.000Z,SEVERE STORMS AND TORNADOES,IA
4278,2016-08-26T00:00:00.000Z,"SEVERE STORM, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",KY
950,1992-07-24T00:00:00.000Z,SEVERE THUNDERSTORMS,AR
4421,2019-03-23T00:00:00.000Z,SEVERE STORMS AND FLOODING,IA
4238,2015-08-07T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",MO
4684,2023-01-15T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",AL
2898,2011-04-17T00:00:00.000Z,PINNACLE FIRE ,TX
1623,2006-01-10T00:00:00.000Z,EXTREME WILDFIRE THREAT,OK
3458,2020-03-13T00:00:00.000Z,COVID-19 ,TX
3099,1993-03-15T00:00:00.000Z,"BLIZZARDS, SEVERE WINDS & SNOWFALL, COASTAL STORM",ME
4590,2021-03-09T00:00:00.000Z,SEVERE WINTER STORMS,LA
3475,2020-03-13T00:00:00.000Z,COVID-19,SD
560,1978-07-08T00:00:00.000Z,"SEVERE STORMS, FLOODING, HAIL & TORNADOES",MN
1971,2011-04-28T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",AL
4421,2019-03-23T00:00:00.000Z,SEVERE STORMS AND FLOODING,IA
1367,2001-05-02T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",IA
4030,2011-09-12T00:00:00.000Z,TROPICAL STORM LEE,PA
821,1989-02-24T00:00:00.000Z,SEVERE STORMS & FLOODING,KY
4308,2017-04-01T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",CA
234,1968-02-10T00:00:00.000Z,SEVERE ICE STORM,NC
3248,2005-09-13T00:00:00.000Z,HURRICANE KATRINA EVACUATION,CA
1453,2003-03-14T00:00:00.000Z,SEVERE WINTER STORM AND RECORD/NEAR RECORD SNOW,OH
1033,1994-07-07T00:00:00.000Z,"TORNADOES, FLOODING TORRENTIAL RAIN(TROP STORM ALBERTO)",GA
3453,2020-03-13T00:00:00.000Z,COVID-19 ,MN
1092,1996-01-24T00:00:00.000Z,BLIZZARD 0F 96 ,CT
3262,2005-09-30T00:00:00.000Z,HURRICANE KATRINA EVACUATION,NY
420,1974-04-04T00:00:00.000Z,TORNADOES,KY
4408,2018-11-27T00:00:00.000Z,SEVERE STORMS AND FLOODING,PA
4611,2021-08-29T00:00:00.000Z,HURRICANE IDA,LA
938,1992-03-18T00:00:00.000Z,"HEAVY RAINS, ICE JAMS & FLOODING",VT
801,1987-11-10T00:00:00.000Z,SEVERE WINTER STORM,NY
3100,1993-03-16T00:00:00.000Z,SEVERE SNOWFALL & WINTER STORM,MD
4484,2020-03-24T00:00:00.000Z,COVID-19 PANDEMIC,LA
3389,2017-09-11T00:00:00.000Z,HURRICANE IRMA,AL
2497,2003-09-06T00:00:00.000Z,CA-BRIDGE FIRE-09-05-2003,CA
368,1973-03-27T00:00:00.000Z,"HEAVY RAINS, TORNADOES & FLOODING",MS
4738,2023-09-07T00:00:00.000Z,HURRICANE IDALIA,GA
3007,1975-01-18T00:00:00.000Z,TORNADOES,AL
1564,2004-10-01T00:00:00.000Z,SEVERE STORMS AND FLOODING,NY
960,1992-09-09T00:00:00.000Z,EXCESSIVE RAIN & HAIL,TX
3534,2020-08-02T00:00:00.000Z,HURRICANE ISAIAS,NC
4318,2017-06-15T00:00:00.000Z,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",AR
4507,2020-03-31T00:00:00.000Z,COVID-19 PANDEMIC,OH
3448,2020-03-13T00:00:00.000Z,COVID-19 ,VA
4702,2023-04-10T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",KY
3113,1993-09-10T00:00:00.000Z,EXTREME FIRE HAZARD,TX
3198,2005-01-11T00:00:00.000Z,SNOW,OH
4485,2020-03-25T00:00:00.000Z,COVID-19 PANDEMIC,TX
2606,2006-01-02T00:00:00.000Z,PRAGUE FIRE ,OK
1768,2008-06-14T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",WI
1070,1995-10-04T00:00:00.000Z,HURRICANE OPAL,AL
1109,1996-04-02T00:00:00.000Z,BLIZZARD OF 96,IN
